ANIO,MES,BARRIO,USO,ESTRATO,PROMEDIO,INMUEBLES
2016,1,Belen,Residencial,6,12.53,187
2016,1,Belen,Residencial,5,10.67,304
2016,1,Belen,Comercial,Comercial,17.35,127
2016,1,Belen,Servicios Especiales,Servicios Especiales,66.11,9
2016,1,Belen,Oficial,Oficial,924,1
2018,3,Asis,Comercial,Comercial,26,1
2017,10,La Panamericana,Comercial,Comercial,20.82,106
2017,6,Vereda La Linda,Rural,3,14.38,40
2017,2,CampoAmor,Residencial,3,14.35,1166
2017,10,Sacatin,Residencial,4,11.35,43
2017,9,Vereda Alto del Naranjo,Rural,2,8.65,40
2017,9,Los Agustinos,Residencial,5,28,6
2018,5,Vereda Bajo Tablazo,Industrial,Industrial,13.14,7
2016,3,Tejares,Suministro a Constru,Suministro a Constru,0,1
2017,8,Morrogacho,Residencial,1,14.94,47
2016,3,Vereda La Violeta,Rural,2,7.17,6
2016,11,Asturias,Oficial,Oficial,36,1
2016,11,Camelia,Comercial,Comercial,22.13,30
2017,10,Cerro de Oro,Industrial,Industrial,25,2
2017,7,San Ignacio,Residencial,1,14.3,61
2016,12,Fanny Gonzalez,Residencial,3,11.27,164
2016,10,Vereda Morrogordo,Rural,3,17,2
2017,7,Vereda Alto Tablazo,Rural,2,15.74,72
2018,5,Vereda La Linda,Rural,1,10.29,112
2017,1,Bella Montaña (Hosp G. - Esc),Rural,2,4,1
2017,3,Castellana,Servicios Especiales,Servicios Especiales,0,1
2016,2,Colseguros,Servicios Especiales,Servicios Especiales,39,3
2017,9,Villa Julia,Residencial,2,12.49,111
2017,1,Aranjuez,Residencial,3,12.45,875
2018,4,La Sultana,Servicios Especiales,Servicios Especiales,10,2
2016,10,Vereda Alto del Naranjo,Rural,2,10.77,39
2018,4,San Antonio,Comercial,Comercial,11.36,135
2017,2,Vereda Bajo Tablazo,Industrial,Industrial,17.29,7
2017,11,Camelia,Residencial,6,10.97,875
2017,1,CampoAmor,Comercial,Comercial,8.48,46
2016,3,Betania,Comercial,Comercial,50.5,2
2016,2,Guayacanes,Residencial,5,20,1
2017,7,Baja Leonora,Residencial,2,15,1
2016,12,Vereda Alto Corinto,Rural,2,13,1
2017,7,Morrogacho,Residencial,3,62,2
2018,7,Los Alcazares,Residencial,6,0,1
2017,4,Vereda Bajo Tablazo,Rural,1,14.62,93
2017,8,Centro,Comercial,Comercial,18.66,1611
2017,3,CampoHermoso (Univ. Mzles),Industrial,Industrial,1,1
2017,1,Los Alcazares,Servicios Especiales,Servicios Especiales,0,1
2016,10,Las Americas,Residencial,3,13.21,1381
2018,4,Chachafruto,Residencial,5,17,1
2017,8,Arboleda,Oficial,Oficial,16.75,4
2016,8,Nevado,Oficial,Oficial,21.6,5
2016,7,Residencias Manizales,Residencial,4,11.04,645
2018,3,Vereda Cuchilla del Salado,Residencial,3,5,1
2018,2,Villapilar,Residencial,2,19.59,17
2016,9,Sacatin,Residencial,4,9.81,43
2016,10,Vereda Manzanares,Rural,4,1.5,2
2016,2,MalHabar,Residencial,2,11.57,70
2016,7,Vereda Alto Corinto,Rural,1,6,1
2017,7,Vereda Morrogordo,Rural,1,9.07,14
2016,3,Guamal,Residencial,4,13.55,58
2018,5,La Enea,Servicios Especiales,Servicios Especiales,17,2
2016,6,La Leonora,Oficial,Oficial,37.5,2
2017,9,Vereda San Peregrino,Oficial,Oficial,43.25,4
2016,12,Centenario,Rural,1,9.6,10
2017,10,El Caribe,Comercial,Comercial,16.43,7
2017,2,Vereda La Aurora,Rural,1,8.62,65
2018,5,Vereda La China,Rural,1,5.78,9
2017,2,Uribe,Residencial,2,14.16,45
2018,4,CampoAmor,Residencial,3,14.81,1175
2018,5,VillaHermosa - La Playa,Comercial,Comercial,13.65,20
2017,5,Velez,Residencial,3,12.62,338
2017,8,Vereda Quiebra de Velez,Industrial,Industrial,8,2
2018,4,CampoHermoso (Univ. Mzles),Servicios Especiales,Servicios Especiales,9,1
2016,4,Estambul,Oficial,Oficial,2651.5,4
