ANIO,ESTRATO,PROMEDIO
2016,6,12.53
2016,5,10.67
2017,3,14.38
2017,3,14.35
2017,4,11.35
2017,2,8.65
2017,5,28
2017,1,14.94
2016,2,7.17
2017,1,14.3
2016,3,11.27
2016,3,17
2017,2,15.74
2018,1,10.29
2017,2,4
2017,2,12.49
2017,3,12.45
2016,2,10.77
2017,6,10.97
2016,5,20
2017,2,15
2016,2,13
2017,3,62
2017,1,14.62
2016,3,13.21
2018,5,17
2016,4,11.04
2018,3,5
2018,2,19.59
2016,4,9.81
2016,4,1.5
2016,2,11.57
2016,1,6
2017,1,9.07
2016,4,13.55
2016,1,9.6
2017,1,8.62
2018,1,5.78
2017,2,14.16
2018,3,14.81
2017,3,12.62
2016,1,11.6
2018,2,9.91
2017,3,13.01
2016,4,20.96
2017,6,28
2016,4,19.33
2016,4,11.76
2016,3,12.2
2018,3,6.39
2018,1,14
2017,3,10.54
2016,2,13.57
2016,1,10.7
2018,3,11.57
2016,1,7
2018,1,15
2018,2,13.31
2018,3,10.42
2018,2,18
2017,3,10.53
2017,2,17.96
2018,3,9.33
2017,1,9.25
2017,1,13.66
2016,6,6.44
2018,1,7.66
2017,5,7.64
2016,2,13.05
2016,1,11.22
2017,3,12
2017,5,19.61
2017,5,13.7
2018,1,7.87
2018,2,14
2017,1,20
2018,2,7.33
2016,5,15.5
2018,3,11.47
2016,5,10.97
2018,1,18.33
2017,3,6.5
2016,1,12.16
2017,4,17.63
2016,3,10.5
2018,2,16.86
2017,1,7.11
2017,2,10.3
2016,1,7.33
2016,1,12.06
2016,3,11.21
2018,1,10.18
2017,2,11.2
2017,3,14.8
2018,2,11.15
2016,4,7.07
2017,1,2.5
2017,4,12.25
2017,2,11.73
2016,3,12.27
2017,6,5.1
2016,1,12
2016,2,12.55
2016,2,4.21
2016,1,9.17
2017,4,13.13
2016,1,15
2017,6,13.48
2017,2,10.21
2017,2,83
2017,3,10.25
2017,2,11.75
2017,1,11.18
2018,5,15.5
2016,4,12.82
2016,4,3
2016,3,16.29
2016,2,11
2016,2,15.75
2016,2,18.52
2017,4,3
2017,4,10.19
2017,2,18.71
2017,3,12.31
2016,4,8.05
2016,3,12.77
2017,5,8
2016,1,24
2016,1,10.65
2016,2,19.8
2016,1,8.5
2016,1,11.08
2018,1,4.87
2018,3,12.68
2017,4,13.07
2017,4,8.63
2016,3,23
2016,2,38
2017,3,10.78
2016,2,8
2016,1,3
2016,1,61
2016,1,2.33
2018,3,8.63
2016,2,12.93
2016,1,8.05
2017,4,65
2018,1,15.06
2017,1,35
2017,1,16
2016,3,7
2018,1,6.61
2016,2,15.2
2018,1,12.15
2017,3,15.07
2018,3,6.75
2016,2,11.06
2017,4,7.5
2016,1,8.6
2016,1,19
2017,4,11.21
2018,5,10.83
2017,3,3
2017,2,10.43
2016,1,8.24
2017,4,2
2017,5,8
2016,2,14.78
2016,5,11.29
2016,1,7.28
2016,1,7
2017,3,24
2016,2,12.94
2016,2,11
2016,2,10.32
2018,3,13.07
2018,4,1
2016,4,8
2016,1,16.76
2016,3,4.5
2018,2,13.15
2017,2,6
2017,2,1
2018,1,6.96
2017,5,8.79
2018,6,12.54
2017,1,9.36
2018,5,19.16
2018,2,9
2017,2,12.92
2017,2,15.98
2017,4,5.33
2018,3,13.35
2016,1,6.49
2016,2,13.39
2016,3,8.94
2016,2,18.5
2017,3,10.98
2017,2,11.72
2016,3,12.37
2016,6,7.25
2018,2,12.6
2017,3,11.32
2016,2,14.89
2018,6,8.87
2016,1,11
2017,4,21.75
2017,4,20.89
2018,6,9.8
2016,5,10.93
2016,4,5
2016,4,16.25
2017,1,7
2018,3,12.4
2016,2,4.5
2016,3,7.66
2017,2,17.33
2017,4,7
2016,2,9.74
2016,2,6.54
2016,3,6.5
2016,2,17
2017,1,22
2017,2,3.5
2018,3,11.81
2017,2,18.18
2017,1,14.71
2016,5,9.87
2017,3,14.49
2016,1,15.88
2016,2,14.1
2016,1,13.85
2018,6,11.02
2017,2,11.33
2017,4,0.5
2016,1,13
2016,2,12.5
2016,3,17.86
2018,2,12.09
2016,3,7.27
2017,1,8.47
2018,4,16
2017,3,8.5
2016,1,13.24
2018,3,4.68
2018,1,11.64
2016,5,6.5
2016,1,6.28
2018,3,12.53
2017,3,12.25
2017,2,15.43
2016,1,12.93
2016,1,15.19
2016,4,12.89
2016,3,13.63
2018,4,11.54
