ANIO,MES,BARRIO,USO,ESTRATO,PROMEDIO,INMUEBLES
2016,01,Belen,Residencial,6,12.53,187
2016,01,Belen,Residencial,5,10.67,304
2016,01,Belen,Comercial,Comercial,17.35,127
2016,01,Belen,Servicios Especiales,Servicios Especiales,66.11,9
2016,01,Belen,Oficial,Oficial,924,1
2018,03,Asis,Comercial,Comercial,26,1
2017,10,La Panamericana,Comercial,Comercial,20.82,106
2017,06,Vereda La Linda,Rural,3,14.38,40
2017,02,CampoAmor,Residencial,3,14.35,1166
2017,10,Sacatin,Residencial,4,11.35,43
2017,09,Vereda Alto del Naranjo,Rural,2,8.65,40
2017,09,Los Agustinos,Residencial,5,28,6
2018,05,Vereda Bajo Tablazo,Industrial,Industrial,13.14,7
2016,03,Tejares,Suministro a Constru,Suministro a Constru,0,1
2017,08,Morrogacho,Residencial,1,14.94,47
2016,03,Vereda La Violeta,Rural,2,7.17,6
2016,11,Asturias,Oficial,Oficial,36,1
2016,11,Camelia,Comercial,Comercial,22.13,30
2017,10,Cerro de Oro,Industrial,Industrial,25,2
2017,07,San Ignacio,Residencial,1,14.3,61
2016,12,Fanny Gonzalez,Residencial,3,11.27,164
2016,10,Vereda Morrogordo,Rural,3,17,2
2017,07,Vereda Alto Tablazo,Rural,2,15.74,72
2018,05,Vereda La Linda,Rural,1,10.29,112
2017,01,Bella Montaña (Hosp G. - Esc),Rural,2,4,1
2017,03,Castellana,Servicios Especiales,Servicios Especiales,0,1
2016,02,Colseguros,Servicios Especiales,Servicios Especiales,39,3
2017,09,Villa Julia,Residencial,2,12.49,111
2017,01,Aranjuez,Residencial,3,12.45,875
2018,04,La Sultana,Servicios Especiales,Servicios Especiales,10,2
2016,10,Vereda Alto del Naranjo,Rural,2,10.77,39
2018,04,San Antonio,Comercial,Comercial,11.36,135
2017,02,Vereda Bajo Tablazo,Industrial,Industrial,17.29,7
2017,11,Camelia,Residencial,6,10.97,875
2017,01,CampoAmor,Comercial,Comercial,8.48,46
2016,03,Betania,Comercial,Comercial,50.5,2
2016,02,Guayacanes,Residencial,5,20,1
2017,07,Baja Leonora,Residencial,2,15,1
2016,12,Vereda Alto Corinto,Rural,2,13,1
2017,07,Morrogacho,Residencial,3,62,2
2018,07,Los Alcazares,Residencial,6,0,1
2017,04,Vereda Bajo Tablazo,Rural,1,14.62,93
2017,08,Centro,Comercial,Comercial,18.66,1611
2017,03,CampoHermoso (Univ. Mzles),Industrial,Industrial,1,1
2017,01,Los Alcazares,Servicios Especiales,Servicios Especiales,0,1
2016,10,Las Americas,Residencial,3,13.21,1381
2018,04,Chachafruto,Residencial,5,17,1
2017,08,Arboleda,Oficial,Oficial,16.75,4
2016,08,Nevado,Oficial,Oficial,21.6,5
2016,07,Residencias Manizales,Residencial,4,11.04,645
2018,03,Vereda Cuchilla del Salado,Residencial,3,5,1
2018,02,Villapilar,Residencial,2,19.59,17
2016,09,Sacatin,Residencial,4,9.81,43
2016,10,Vereda Manzanares,Rural,4,1.5,2
2016,02,MalHabar,Residencial,2,11.57,70
2016,07,Vereda Alto Corinto,Rural,1,6,1
2017,07,Vereda Morrogordo,Rural,1,9.07,14
2016,03,Guamal,Residencial,4,13.55,58
2018,05,La Enea,Servicios Especiales,Servicios Especiales,17,2
2016,06,La Leonora,Oficial,Oficial,37.5,2
2017,09,Vereda San Peregrino,Oficial,Oficial,43.25,4
2016,12,Centenario,Rural,1,9.6,10
2017,10,El Caribe,Comercial,Comercial,16.43,7
2017,02,Vereda La Aurora,Rural,1,8.62,65
2018,05,Vereda La China,Rural,1,5.78,9
2017,02,Uribe,Residencial,2,14.16,45
2018,04,CampoAmor,Residencial,3,14.81,1175
2018,05,VillaHermosa - La Playa,Comercial,Comercial,13.65,20
2017,05,Velez,Residencial,3,12.62,338
2017,08,Vereda Quiebra de Velez,Industrial,Industrial,8,2
2018,04,CampoHermoso (Univ. Mzles),Servicios Especiales,Servicios Especiales,9,1
2016,04,Estambul,Oficial,Oficial,2651.5,4
2016,03,Vereda Alto del Zarzo,Oficial,Oficial,17,1
2016,10,Villapilar,Residencial,1,11.6,40
2018,03,Persia,Residencial,2,9.91,302
2017,08,La Sultana,Residencial,3,13.01,2040
2016,10,El Trebol,Suministro a Constru,Suministro a Constru,62,3
2016,02,Vereda La Cabaña,Rural,4,20.96,52
2017,04,Vereda El Arenillo,Rural,6,28,1
2016,06,Vereda La Trinidad,Residencial,4,19.33,3
2016,08,Bosques de Niza,Suministro a Constru,Suministro a Constru,85.5,2
2016,04,Milan,Residencial,4,11.76,17
2016,05,Vereda Alto del Naranjo,Rural,3,12.2,10
2018,03,Villapilar,Residencial,3,6.39,533
2016,07,Milan,Servicios Especiales,Servicios Especiales,31.91,11
2018,05,San Jose,Residencial,1,14,1
2017,07,Prado,Residencial,3,10.54,223
2017,12,Centenario,Oficial,Oficial,165.5,8
2016,01,Vereda La Cabaña,Industrial,Industrial,36,7
2016,04,El Caribe,Residencial,2,13.57,1538
2016,04,Vereda Morrogacho,Rural,1,10.7,27
2017,08,CampoAmor,Comercial,Comercial,6.94,48
2016,09,Colon,Servicios Especiales,Servicios Especiales,22.5,2
2018,02,Vereda San Peregrino,Rural,3,11.57,61
2016,09,Vereda Quiebra de Velez,Residencial,1,7,4
2018,04,Zona Industrial,Residencial,1,15,1
2018,05,Morrogacho,Residencial,2,13.31,157
2018,06,Altos de Granada,Residencial,3,10.42,199
2018,03,Residencias Manizales,Residencial,2,18,1
2016,08,Alhambra,Servicios Especiales,Servicios Especiales,0,1
2017,09,Guamal,Residencial,3,10.53,1365
2017,01,Vereda Alto Tablazo,Rural,2,17.96,71
2018,03,Caserio La Enea,Residencial,3,9.33,3
2017,03,Guamal,Residencial,1,9.25,4
2017,06,San Ignacio,Residencial,1,13.66,61
2016,12,Laureles,Residencial,6,6.44,193
2016,02,Vereda El Aventino,Comercial,Comercial,10.33,3
